animal,type [1],mouse [2],lineage [3],DOB [4],date [5],age [6],weight [7],description [8],recordingBatch [9],rec. computer[10],recording folder [11],recordings [12],comment [13],,,,,,,,,,,,
200202_f31,B6-PV Cre,female #31,B6-PV Cre,200202,200303,27,19,virus injection (pGP-AAV-syn-FLEX-jGCaMP7f-WPRE),,,,,,,,,,,,,,,,,
200205_f98,GCaMP6f-Tigre negative,female #98,P6F-Tigre / Pv-Cre,200205,200309,33,16.5,cannula implantation in simplex,,,,,"coordinates : -6 mm, 2 mm right, 0.25 mm deep",,,,,,,,,,,,
 ,GCaMP6f-Tigre negative,female #97,P6F-Tigre / Pv-Cre,200205,200310,33,16.5,cannula implantation in simplex,,,,,"coordinates : -6 mm, 2 mm right, 0.25 mm deep",,,,,,,,,,,,
200622_f47,GCaMP6f-Tigre,female #47,P6F-Tigre / Pv-Cre,200622,200818,57,,Chronic window & headplate surgery,,,,,"chronic window implanted over lobulus simplex, 2 mm off the midline (good recovery)",,,,,,,,,,,,
,,,,,200821,,,Habituation 1 ,,,,,"10 am : 1. Hab session, 5 min free walking",,,,,,,,,,,,
,,,,,,,,Habituation 2,,,,,"3 pm : 5 min free walking, 20 min head-fixed in 2p setup (while looking for cells -> didn't see anything) ",,,,,,,,,,,,
,,,,,200824,,,Habituation 3,,,,,11 a.m : 30 min head-fixed motorized  on setup 1,,,,,,,,,,,,
,,,,,,,,Habituation 4,,,,,3 p.m : 30 min head-fixed motorized  on setup 2,,,,,,,,,,,,
,,,,,200825,62,,locomotion recording with motorization,,2photonPC,2020.08.25_000,locomotionTriggerSIAndMotor60sec_000,scanimage failed to start,,,,,,,,,,,,
,,,,,,,,,,,,"locomotionTriggerSIAndMotor60sec_001, animalf47_00001-5",locomotion recording of a few (~7 interneurons),,,,,,,,,,,,
200622_f46,GCaMP6f-Tigre negative,female #46,P6F-Tigre / Pv-Cre,200622,200819,58,21.5,cannula implantation in simplex & headplate surgery,,,,,"canulae guide implanted over lobulus simplex, coordinates : -6 mm, 2.4 mm right, 1.81 mm (good recovery)",,,,,,,,,,,,
,,,,,200821,,,Habituation 1 ,,,,,"10 am : 1. Hab session, 5 min free walking",,,,,,,,,,,,
,,,,,,,,Habituation 2,,,,,"3 pm : 5 min free walking, 20 min head-fixed in setup 2",,,,,,,,,,,,
,,,,,200824,,,Habituation 3,,,,,11 a.m : 30 min head-fixed motorized  on setup 2,201001,,,,,,,,,,,
,,,,,,,,Habituation 4,,,,,3 p.m : 30 min head-fixed motorized  on setup 2,,,,,,,,,,,,
,,,,,200825,64,,Locomotion recording with muscimol,,behaviorPC,2020.08.25_001,locomotion_recording_setup2_000,0.4 ul musimol @ 0.2 ul/min infused 30 min prior to walking session,,,,,,,,,,,,
,,,,,200826,65,,Muscimol infusion and fixation of the animal,,,,,"animal was fixed 30 min after infusion of 0.4 ul musimol @ 0.2 ul/min,  Ali didn't saw any fluorescence",,,,,,,,,,,,
200622_f45,GCaMP6f-Tigre negative,female #45,P6F-Tigre / Pv-Cre,200622,200820,59,19,cannula implantation in simplex & headplate surgery,,,,,"canulae guide implanted over lobulus simplex, coordinates : -6 mm, 2.4 mm right, 1.64 mm,",,,,,,,,,,,,
,,,,,200821,,,Habituation 1 ,,,,,"10 am : 1. Hab session, 5 min free walking",,,,,,,,,,,,
,,,,,,,,Habituation 2,,,,,"3 pm : 5 min free walking, 20 min head-fixed in setup 2",,,,,,,,,,,,
,,,,,200824,,,Habituation 3,,,,,10:20 a.m : 30 min head-fixed motorized  on setup 2,,,,,,,,,,,,
,,,,,,,,Habituation 4,,,,,3 p.m : 30 min head-fixed motorized  on setup 1,,,,,,,,,,,,
,,,,,200825,64,,Locomotion recording with muscimol,,behaviorPC,2020.08.25_000,locomotion_recording_setup2_000,0.4 ul musimol @ 0.2 ul/min infused 30 min prior to walking session,,,,,,,,,,,,
,,,,,200826,65,,Muscimol infusion and fixation of the animal,,,,,"animal was fixed 30 min after infusion of 0.4 ul musimol @ 0.2 ul/min,  Ali didn't saw any fluorescence",,,,,,,,,,,,
200622_f48,GCaMP6f-Tigre negative,female #48,P6F-Tigre / Pv-Cre,200622,200901,71,21.4,cannula implantation in simplex & headplate surgery,,,,,"canulae guide implanted over lobulus simplex, coordinates : -6 mm, 2.4 mm right, 1.77 mm (descending 300um from brain surface instead of 200um)",,,,,,,,,,,,
,,,,,200902,72,,Muscimol infusion and fixation of the animal,,,,,"animal was fixed 30 min after infusion of 0.4ul of muscimol  and green fluorescent bids (1/10 ratio @ 0.2 ul/min) trace of guide visible but lateral from target, a big hematome visible on brain surface, green bids was detected between two lobules not simplex, no RFP signal",,,,,,,,,,,,
200622_m43,GCaMP6f-Tigre negative,male #43,P6F-Tigre / Pv-Cre,200622,200901,71,33.1,cannula implantation in simplex & headplate surgery,,,,,"canulae guide implanted over lobulus simplex, coordinates : -6 mm, 2.4 mm right, 1.89 mm (descending 300um from brain surface instead of 200um)",,,,,,,,,,,,
,,,https://docs.google.com/spreadsheets/d/1mIP_Z03U6J46mpD-IhmZc30NR-Jayrb0NVVXxpwAIDk/edit#gid=1320165176,,200902,72,,Muscimol infusion and fixation of the animal,,,,,"animal was fixed 30 min after infusion of 0.4ul of muscimol  and green fluorescent bids (1/10 ratio @ 0.2 ul/min) trace of guide visible but too lateral,  but no green bids nor RFP signal",,,,,,,,,,,,
200801_m56,GCaMP6f-Tigre negative,male #56,P6F-Tigre / Pv-Cre,200801,200904,34,20.4,cannula implantation in simplex & headplate surgery,,,,,"canulae guide implanted over lobulus simplex, coordinates : -5.8 mm, 2 mm right, 1.68 mm (descending 300um from brain surface)",,,,,,,,,,,,
,,,,,200907,37,,Muscimol infusion and fixation of the animal,,,,,animal was fixed 30 min after infusion of 0.4ul of muscimol  and green fluorescent bids (1/10 ratio @ 0.2 ul/min) bids and needle trace too posterior,,,,,,,,,,,,
200801_m57,GCaMP6f-Tigre negative,male #57,P6F-Tigre / Pv-Cre,200801,200904,34,21.3,cannula implantation in simplex & headplate surgery,,,,,"canulae guide implanted over lobulus simplex, coordinates : -5.8 mm, 2 mm right, 1.76 mm (descending 300um from brain surface)",,,,,,,,,,,,
,,,,,200907,37,,Muscimol infusion and fixation of the animal,,,,,animal was fixed 30 min after infusion of 0.4ul of muscimol  and green fluorescent bids (1/10 ratio @ 0.2 ul/min) bids and needle in simplex but big hol on the needle tract ,,,,,,,,,,,,
200801_m61,GCaMP6f-Tigre negative,female #61,P6F-Tigre / Pv-Cre,200801,200909,39,16.8,cannula implantation in simplex & headplate surgery,,,,,"canulae guide implanted over lobulus simplex, coordinates : -6 mm, 2 mm right, 1.7 mm from skull surface",,,,,,,,,,,,
,,,,,200910,40,,Muscimol infusion and fixation of the animal,,,,,"animal was fixed 30 min after infusion of 0.4ul of muscimol  and green fluorescent bids (1/10 ratio @ 0.1 ul/min) 2min waiting before infusion, bids were in simplex but too superficial",,,,,,,,,,,,
200801_m62,GCaMP6f-Tigre negative,female #62,P6F-Tigre / Pv-Cre,200801,200909,39,16.4,cannula implantation in simplex & headplate surgery,,,,,"canulae guide implanted over lobulus simplex, coordinates : -6 mm, 2 mm right, 1.7 mm from skull surface",,,,,,,,,,,,
,,,,,200910,40,,Muscimol infusion and fixation of the animal,,,,,"animal was fixed 30 min after infusion of 0.4ul of muscimol  and green fluorescent bids (1/10 ratio @ 0.1 ul/min) 2min waiting before infusion, no bids but cannula guide trace in simplex, may be too superficial ",,,,,,,,,,,,
200801_m58,GCaMP6f-Tigre negative,male #58,P6F-Tigre / Pv-Cre,200801,200914,25,22.6,cannula implantation in simplex & headplate surgery,,,,,"canulae guide implanted over lobulus simplex, coordinates : -6mm, 2mm right, 1.43 mm (descending 200um from brain surface) trace of the canula guide but no bids",,,,,,,,,,,,
,,,,,200916,,,Habituation 1 ,,,,,"10 am : 1. Hab session, 5 min free walking",sign of agressivity towards #63,,,,,,,,,,,
,,,,,,,,Habituation 2,,,,,"3 pm : 5 min free walking, 20 min head-fixed in setup 2",,,,,,,,,,,,
,,,,,200917,,,Habituation 3,,,,,10:20 a.m : 30 min head-fixed motorized  on setup 2,,,,,,,,,,,,
